category,project,BUGS,SMELLS,VULNERABILITY,CRITICAL,MAJOR,MINOR,BLOCKER,NCLOC,,BUGS_std,SMELLS_std,VULNERABILITY_std,CRITICAL_std,MAJOR_std,MINOR_std,BLOCKER_std,NCLOC_std
Assembly,lanl/qmasm,54.285714285714285,782,0,590.5714285714286,141.78571428571428,49.642857142857146,54.285714285714285,31473.384615384617,,65.65214453186319,863.6003539997952,0.0,654.4092989958539,160.9858816220623,50.18623479865076,65.65214453186319,36714.07358438673
Assembly,XanaduAI/blackbird,225,640.3333333333334,0,249.83333333333334,339.8333333333333,222.33333333333334,53.333333333333336,208717.8,,100.62305898749054,323.3546384733366,0.0,146.53829609430505,152.5957804862973,104.52219328395711,26.246692913372705,44578.1253953102
Assembly,BBN-Q/pyqgl2,670,5462.818181818182,0,1398.909090909091,2914.5454545454545,1195.1818181818182,624.1818181818181,506093.44444444444,,392.69465352750973,2739.000607991629,0.0,732.9198709204728,1432.4795009567001,614.8003102533402,367.4258906554721,118717.7730933617
Assembly,artiste-qb-net/qubiter,1235.090909090909,1509.8181818181818,0,525.3636363636364,1167.7272727272727,536.5454545454545,515.2727272727273,207056.18181818182,,809.2174058418142,1048.0883739787507,0.0,322.18156166622254,808.2158904771885,376.0334520023363,376.4603301349151,344493.4536511723
Assembly,BBN-Q/QGL.jl,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ToolKit,evaleev/libint,11.851851851851851,3.1481481481481484,0,0,0,3.1481481481481484,11.851851851851851,588.7,,29.380900452257418,7.471941111789636,0.0,0.0,0.0,7.471941111789636,29.380900452257418,768.9851819118493
ToolKit,qojulia/QuantumOptics.jl,0,2,0,2,0,0,0,65.6,,0.0,3.854496446637726,0.0,3.854496446637726,0.0,0.0,0.0,22.38392280186831
ToolKit,jcmgray/quimb,157.1578947368421,3521.157894736842,0,819.2105263157895,1893.7368421052631,940.6315789473684,24.736842105263158,376342.94736842107,,263.617798128853,6486.843180527294,0.0,1542.1658924672133,3388.780355698636,1799.2305141958038,35.88995183417331,725567.9640455522
ToolKit,XanaduAI/pennylane,270.5,1861.3,0,551.6,1024.1,491.1,65,128164.5,,154.09948085571216,1421.179021094809,0.0,468.34350641382866,641.1022461355132,394.3423512634675,84.17244204607586,91833.42670645585
ToolKit,OriginQ/QPanda-2,1287.7777777777778,856,0,72.33333333333333,607.2222222222222,180.88888888888889,1283.3333333333333,45161.71428571428,,824.2070637592336,501.46496498869305,0.0,41.81174741890396,351.6319975889496,115.94102374765508,819.9457976665965,13620.057318048952
ToolKit,bloomberg/quantum,737.4444444444445,4034.8888888888887,0,1.2222222222222223,4032.1111111111113,738.5555555555555,0.4444444444444444,1278911,,2080.509825932689,11268.507496996952,0.0,3.456966485800899,11269.40401110157,2080.1263375686854,1.2570787221094177,1254742.0
ToolKit,rigetti/forest-benchmarking,19,1023,0,141.8,581,301.2,18,43088.6,,8.0,199.54548353696208,0.0,53.77508716868807,144.23591785682234,16.178998732925347,7.483314773547883,5945.576123471971
ToolKit,QInfer/python-qinfer,206.5,971.35,0,263.8,523,186.05,205,40744.63157894737,,415.1882103335787,1485.6631271927022,0.0,409.347480754432,801.0246562996672,279.23314183670965,411.92839183528,63434.697120416706
ToolKit,zoran-cuckovic/QGIS-visibility-analysis,0,560.7142857142857,0,250,184.14285714285714,126.57142857142857,0,29253.0,,0.0,280.410777399216,0.0,121.2070247846339,83.02569063923798,89.39935625025039,0.0,9130.166610381944
ToolKit,qubekit/QUBEKit,79.375,730.75,0,423.125,199.375,100.125,87.5,33184,,106.60785325200015,379.2491760043784,0.0,168.934482492474,174.59663334383055,77.52005788826528,107.7207036738992,14106.84023798384
ToolKit,tensorflow/quantum,13.333333333333334,549.6666666666666,0,288.6666666666667,255,6,13.333333333333334,11775.666666666666,,9.428090415820634,10.498677165349081,0.0,10.498677165349081,0.0,0.0,9.428090415820634,1065.4906016583263
ToolKit,redhat-cip/openstack-quantum-puppet,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ToolKit,boschmitt/tweedledum,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ToolKit,TRIQS/triqs,384.7857142857143,3108.6071428571427,0,849.3571428571429,1544.6785714285713,692.9285714285714,406.42857142857144,697103.0,,963.2480898777121,7612.774561500866,0.0,2076.1649262571623,3868.3774104320305,1644.5716317755257,1016.6092601167385,1132517.2200232
ToolKit,QuTech-Delft/qtt,437.6875,8230.625,0,1665.875,5850.75,777.3125,374.375,1037807.1,,653.5496077909847,13339.41921934291,0.0,2762.5415126971398,9530.169230527861,1165.190741828886,561.6044955081824,1058830.1445390994
ToolKit,lmacken/quantumrandom,0,99,0,26,61,12,0,1100,,0.0,49.53786430600334,0.0,14.628738838327793,31.52776554086889,6.0,0.0,165.90810709546415
ToolKit,qucat/qucat,342.8333333333333,2051,0,356.6666666666667,1477.5,539,20.666666666666668,1323901.8,,240.35974196099386,1291.1922139376977,0.0,180.28280253226842,1047.6003929616165,317.19552329753964,9.637888196533973,611494.6626767563
ToolKit,Qiskit/qiskit-ignis,5.555555555555555,1071.3333333333333,0,577.2222222222222,268.8888888888889,230.77777777777777,0,40547.5,,4.969039949999533,756.1350555437979,0.0,427.81402443839175,164.75196471224012,176.59858925935694,0.0,33167.877400430676
ToolKit,orbkit/orbkit,3696.2,5337.55,0,3556.8,4186.95,837.5,452.5,794255.0,,5144.16374739374,9503.194107640862,0.0,6834.997370884645,5731.8520521293985,1430.6453613666806,918.1524655524266,876953.7814591653
ToolKit,deepchem/deepchem,647.3,4746.75,0,1403.8,1938.05,1620.7,431.5,2935722.0,,1448.308430549239,10649.973788113284,0.0,3145.29508313608,4349.269265922725,3639.7886628209612,965.7705472833596,3084997.317383784
ToolKit,aiidateam/aiida-quantumespresso,234.3846153846154,4637.153846153846,0,3341.6923076923076,1118.6153846153845,182,229.23076923076923,132627.53846153847,,200.95331966999336,2306.6460448736734,0.0,1763.5224534399845,657.5858573321917,92.49365882630508,199.13124927511961,64256.022849242436
Quantum Algorithsm,qrefine/qrefine,1048.5833333333333,5853.333333333333,0,1591.0833333333333,4210.833333333333,857.8333333333334,242.16666666666666,444002.0,,933.6828028773418,3427.6088198950333,0.0,897.982410586211,2715.9151874746667,535.4479173759314,137.74967231257656,224287.97946228134
Quantum Algorithsm,mabuchilab/QNET,528.3181818181819,4136.681818181818,0,1340.6363636363637,1997.1363636363637,832,495.22727272727275,340744.4761904762,,835.2302560243567,6512.156153102956,0.0,1948.0121930142614,3332.6245226064225,1282.5640866497224,798.1035437391101,541376.051213468
