category,BUGS,SMELLS,VULNERABILITY,CRITICAL,MAJOR,MINOR,BLOCKER,NCLOC,,BUGS_mdn,SMELLS_mdn,VULNERABILITY_mdn,CRITICAL_mdn,MAJOR_mdn,MINOR_mdn,BLOCKER_mdn,NCLOC_mdn,,BUGS_std,SMELLS_std,VULNERABILITY_std,CRITICAL_std,MAJOR_std,MINOR_std,BLOCKER_std,NCLOC_std
Assembly,2.0183387871084804e-06,9.20004944343667e-06,0.0,5.052515348015518e-06,3.5063414113792295e-06,1.5190835215216857e-06,1.1404479496287162e-06,1,,1.3238661898406552e-06,7.291828568267374e-06,0.0,2.5372999335270446e-06,4.504940158752659e-06,1.5772964283793948e-06,1.2333331423942928e-06,1,2.0543866514475093e-06,8.639837416636919e-06,0.0,6.927698235699363e-06,2.2997470464404414e-06,9.355687814526108e-07,9.220882521616128e-07,0.0
ToolKit,3.2760130881733945e-06,1.8615910119191877e-05,0.0,7.869747498380998e-06,8.348566804203494e-06,2.733394373399722e-06,2.940214531381059e-06,132627.53846153847,,4.409518991102055e-07,1.4522742257021249e-05,0.0,3.2908936470435337e-06,5.637608376354334e-06,1.3722640268467275e-06,3.607365954617192e-07,146265.0,7.092136913289024e-06,2.0312907524243388e-05,0.0,9.672322332603366e-06,1.1880227328144969e-05,2.7878821583036277e-06,7.13491060420426e-06,64256.022849242436
Quantum Algorithsm,5.412811077946836e-06,3.3026782481658236e-05,0.0,9.166820830059874e-06,2.0091155961066013e-05,4.104015862405057e-06,5.077600906074126e-06,1,,1.3064831017804313e-06,2.4586382180781398e-05,0.0,5.235727636557147e-06,8.554461449116588e-06,3.2326113168708517e-06,7.786538338025042e-07,1,1.4584994465950373e-05,3.221678244577291e-05,0.0,1.2035513760923687e-05,3.2346692513612256e-05,3.1891188295492802e-06,1.465852323355776e-05,0.0
None-Quantum,4.825048290249841e-06,1.7866067003205025e-05,3.9107632899050065e-08,6.375224477105926e-06,1.234862658245658e-05,2.154156325027374e-06,1.8522155417640368e-06,29380.620689655174,,5.420595175230092e-07,1.113874586276212e-05,0.0,4.093942567706396e-06,4.428136014248083e-06,1.0932234040439718e-06,1.5718166531824612e-07,14136,1.3269642704456903e-05,2.3642469291265667e-05,1.7505603574122214e-07,7.702725946373032e-06,2.5086462910707166e-05,4.067283403088172e-06,4.555048533247654e-06,50843.43731388158
Full-stack Library,1.4540530703535234e-06,2.7114343425412157e-05,3.0737992861759827e-09,1.3522979689407324e-05,1.080972440517396e-05,3.465650579431198e-06,7.731156210393748e-07,322136,,7.366910006844e-07,2.3738195656825006e-05,0.0,1.3339420303594018e-05,6.901560190039122e-06,2.402273844659247e-06,2.1137156091990315e-07,322136,2.453796375112259e-06,2.131732251829576e-05,1.1904773444943827e-08,1.2413254423760623e-05,9.26754009561278e-06,3.0144341621160045e-06,9.881898549093671e-07,0.0
Quantum-Chemistry,3.940708275465347e-07,1.3252537355786483e-05,3.7660130400981704e-09,5.49337170246601e-06,5.240300978539893e-06,2.538908199575172e-06,3.777933157920402e-07,2132635.5,,8.131970112981912e-08,5.194895836805623e-06,0.0,2.4109639626611154e-06,2.479236395190281e-06,8.467534344319301e-07,8.544988455175172e-08,2316750.0,6.334471999562001e-07,1.441800551781094e-05,1.597784015214229e-08,6.1653323003637176e-06,7.996299831179334e-06,3.854738683575078e-06,7.236708331190089e-07,393836.2600547551
Quantum Annealing,1.906736489246765e-05,3.663555123644487e-05,0.0,1.2211725590776697e-05,2.5481274835987778e-05,8.92338421808539e-06,9.086531484062653e-06,5670.5,,1.343850124513551e-05,2.5264200269780764e-05,0.0,1.1113489131665857e-05,2.3509287371178328e-05,7.352571253083322e-06,1.2456899280591024e-06,5591.5,2.0139730681310617e-05,2.7131282754297506e-05,0.0,1.0402454069751832e-05,1.985969805587455e-05,4.519008552229002e-06,1.1957265051649988e-05,954.692751622217
Cryptography,1.4880903572301273e-07,1.593071546874174e-05,0.0,4.330429622169491e-06,1.056045920640294e-05,1.1557044789878335e-06,3.293119690448507e-08,1,,0.0,3.125798753575429e-06,0.0,8.853352416344511e-07,1.6821084060445573e-06,7.901107835334762e-07,0.0,1,2.577448104975901e-07,2.4118861488691756e-05,0.0,6.518433193195371e-06,1.6406508602336738e-05,1.2660846508288796e-06,5.703850619262308e-08,0.0
Web-Extension,8.884276423455631e-06,4.400418801148471e-06,3.669084220093977e-08,4.75214605054574e-06,5.75254805318305e-06,2.7156079816362055e-06,1.0108398144004566e-07,504,,2.781211372064277e-06,1.0861885482598996e-06,0.0,1.8434633060046988e-09,5.223281862752284e-07,6.361752091022894e-07,7.391128154348719e-10,504,1.1655675608803942e-05,8.657826935454171e-06,8.562349485854867e-08,8.138641632960326e-06,9.226000052199848e-06,3.861209912803072e-06,1.3029686026943466e-07,0.0
Compiler,3.5602699679703873e-07,1.3758421662207212e-05,0.0,9.633466366550891e-06,3.7194625552825057e-06,5.210398626133248e-07,2.4047987455753055e-07,78761.0,,7.210018206663536e-08,3.3424651865455174e-07,0.0,1.1312707487342237e-08,3.8035172307268055e-07,1.4129605488303079e-08,5.52664672861186e-10,91416.0,4.5347199085124415e-07,1.922148289479228e-05,0.0,1.3615780279329583e-05,4.993579915469616e-06,7.268933887626963e-07,3.396991820677538e-07,37663.38036106454
