Tags,project_type,category,project,total_debt
convention,Quantum,Quantum Annealing,dwavesystems/dwavebinarycsp,15.93625498007968
convention,Quantum,Quantum Annealing,dwavesystems/qbsolv,7.673568818514007
convention,Quantum,Web-Extension,quantacms/quanta,0.01
convention,Quantum,Web-Extension,Quantum-Manager/quantummanager,0.3654970760233918
convention,Quantum,Web-Extension,dauphine-dev/drop-feeds,0.0
convention,Quantum,Web-Extension,Izheil/Quantum-Nox-Firefox-Dark-Full-Theme,7.81
convention,Quantum,Web-Extension,firebug/websocket-monitor,0.0
convention,Quantum,Web-Extension,foxyproxy/firefox-extension,0.0
convention,Quantum,Web-Extension,Aris-t2/CustomCSSforFx,0.0
convention,Quantum,Web-Extension,spikespaz/firefox-nativedark,0.0
convention,Quantum,Web-Extension,catho/quantum,20.0
convention,Quantum,Fun/ Game,Quantum-Game/quantum-game-2,0.0
convention,Quantum,Fun/ Game,decodoku/A_Game_to_Benchmark_Quantum_Computers,79.94186046511628
convention,Quantum,Fun/ Game,HuangJunye/QPong,0.0
convention,Quantum,Fun/ Game,JavaFXpert/quantum-toy-piano-ibmq,0.07376444553725105
convention,Quantum,Full-stack Library,Blueqat/Blueqat,49.20634920634921
convention,Quantum,Full-stack Library,softwareQinc/staq,60.381355932203384
convention,Quantum,Full-stack Library,rigetti/pyquil,44.198655389286486
convention,Quantum,Full-stack Library,microsoft/QuantumLibraries,25.287356321839084
convention,Quantum,Full-stack Library,microsoft/Quantum-NC,0
convention,Quantum,Full-stack Library,Qiskit/qiskit-terra,30.768029971901345
convention,Quantum,Full-stack Library,qiskit-community/qiskit-vscode,41.86046511627907
convention,Quantum,Full-stack Library,QuantumPackage/qp2,9.589041095890412
convention,Quantum,Full-stack Library,qiskit-community/qiskit-js,0.0
convention,Quantum,Full-stack Library,ProjectQ-Framework/ProjectQ,21.203554119547658
convention,Quantum,Full-stack Library,quantumlib/Cirq,24.112607099143204
convention,Quantum,Full-stack Library,microsoft/Quantum,20.0
convention,Quantum,Full-stack Library,rigetti/rpcq,18.94736842105263
convention,Quantum,Full-stack Library,Qiskit/qiskit-ibmq-provider,8.403361344537814
convention,Quantum,Full-stack Library,Qiskit/qiskit,4.629629629629629
convention,Quantum,Full-stack Library,XanaduAI/strawberryfields,51.14029025570145
convention,Quantum,Simulator,Approximates/dotBloch,0
convention,Quantum,Simulator,rigetti/qvm,0
convention,Quantum,Simulator,QuantumBFS/YaoBlocks.jl,0
convention,Quantum,Simulator,aparent/QCViewer,50.0
convention,Quantum,Simulator,microsoft/qmt,66.83848797250859
convention,Quantum,Simulator,arguelles/nuSQuIDS,47.91666666666667
convention,Quantum,Simulator,vm6502q/qrack,0
convention,Quantum,Simulator,QuantumBFS/Yao.jl,59.57446808510638
convention,Quantum,Simulator,qutip/qutip,49.13
convention,Quantum,Simulator,Qiskit/qiskit-jku-provider,21.428571428571423
convention,Quantum,Simulator,Qiskit/qiskit-aer,14.269340974212033
convention,Quantum,Simulator,Strilanc/Quirk,0.1289767841788478
convention,Quantum,Simulator,softwareQinc/qpp,0.0
convention,Quantum,Simulator,qulacs/qulacs,0.0
convention,Quantum,Simulator,quantumlib/OpenFermion-Cirq,15.704387990762125
convention,Quantum,Simulator,issp-center-dev/HPhi,61.16071428571429
convention,Quantum,Simulator,marvel-nccr/quantum-mobile,58.33333333333333
convention,Quantum,Simulator,SoftwareQuTech/SimulaQron,55.76
convention,Quantum,Simulator,ngnrsaa/qflex,52.70270270270271
convention,Quantum,Simulator,QuEST-Kit/QuEST,0.0
convention,None-Quantum,None-Quantum,kivy/kivy,18.23
convention,None-Quantum,None-Quantum,frappe/bench,0.11269722013523666
convention,None-Quantum,None-Quantum,dpgaspar/Flask-AppBuilder,0.54
convention,None-Quantum,None-Quantum,flexxui/flexx,25.17
convention,None-Quantum,None-Quantum,lbryio/lbry-sdk,43.49
convention,None-Quantum,None-Quantum,falconry/falcon,4.179447852760736
convention,None-Quantum,None-Quantum,django-tastypie/django-tastypie,6.658238516645596
convention,None-Quantum,None-Quantum,django-crispy-forms/django-crispy-forms,12.885723974228553
convention,None-Quantum,None-Quantum,google/personfinder,8.440000000000001
convention,None-Quantum,None-Quantum,quack/quack,0.0
convention,None-Quantum,None-Quantum,nvbn/thefuck,53.542821934688845
convention,None-Quantum,None-Quantum,cquery-project/cquery,77.3913043478261
convention,None-Quantum,None-Quantum,AppImage/AppImageKit,0
convention,None-Quantum,None-Quantum,Nuitka/Nuitka,44.06
convention,None-Quantum,None-Quantum,jieter/django-tables2,18.78065872459706
convention,None-Quantum,None-Quantum,mjolnirapp/mjolnir,0.0
convention,None-Quantum,None-Quantum,AppDaemon/appdaemon,2.419035029742234
convention,None-Quantum,None-Quantum,Kunstmaan/KunstmaanBundlesCMS,0
convention,None-Quantum,None-Quantum,keystonejs/keystone-classic,0.0
convention,None-Quantum,None-Quantum,emeryberger/CSrankings,18.212501687592816
convention,None-Quantum,None-Quantum,zetavm/zetavm,18.840579710144926
convention,None-Quantum,None-Quantum,pinax/pinax-stripe,80.63619518221124
convention,None-Quantum,None-Quantum,plotly/dash,28.79177377892031
convention,None-Quantum,None-Quantum,wooey/Wooey,28.539626001780945
convention,None-Quantum,None-Quantum,vim-vdebug/vdebug,10.256410256410255
convention,None-Quantum,None-Quantum,SciML/DifferentialEquations.jl,0
convention,None-Quantum,None-Quantum,ps2homebrew/Open-PS2-Loader,0.0
convention,None-Quantum,None-Quantum,rajkumardusad/Tool-X,26.451612903225808
convention,None-Quantum,None-Quantum,Chuyu-Team/Dism-Multi-language,0.0
convention,None-Quantum,None-Quantum,guanguans/favorite-link,0
