snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,3610,46364,0,14140,24584,7866,3384,2368374.0
2,379,5296,0,1692,2628,1013,342,241322.0
3,595,1856,0,819,601,441,590,97653.0
4,954,2067,0,830,803,448,940,113971.0
5,819,3228,0,1135,1239,853,820,236722.0
6,774,3417,0,990,1483,938,780,267210.0
7,124,1277,0,345,518,408,130,108777.0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,673,5280,0,1568,2591,1114,680,362994.0
11,673,5426,0,1588,2710,1121,680,371589.0
12,673,5428,0,1588,2712,1121,680,373564.0
13,763,6202,0,1818,3253,1162,732,350798.0
14,128,3923,0,1248,2170,541,92,146649.0
15,128,3911,0,1223,2183,541,92,147132.0
16,128,3958,0,1228,2230,536,92,148677.0
17,128,3969,0,1253,2218,534,92,151110.0
18,128,3969,0,1253,2218,534,92,151135.0
19,128,3980,0,1258,2218,540,92,151795.0
20,128,3980,0,1258,2218,540,92,151802.0
