snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,43,249,0,33,172,47,40,33970
2,50,271,0,30,196,45,50,34425
3,20,321,0,75,196,50,20,34275
4,40,776,0,105,576,95,40,48418
5,45,1550,0,230,1176,149,40,86938
6,35,2071,0,385,1489,202,30,103922
7,55,2437,0,565,1699,178,50,118103
8,65,2828,0,581,2090,162,60,127796
9,35,3293,0,587,2549,162,30,153013
