snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,550,1737,0,1331,10,736,210,212045
2,195,1358,0,1057,120,362,14,841054
3,40,585,0,55,0,551,19,61845
4,40,571,0,55,0,537,19,65058
5,77,648,0,97,20,574,34,82061
6,72,517,0,232,10,332,15,47307
7,72,583,0,257,0,378,20,54647
8,75,266,0,206,0,115,20,32068
9,90,275,0,211,0,119,35,33431
10,90,277,0,211,0,121,35,34188
11,90,280,0,216,0,119,35,34537
12,90,277,0,211,0,121,35,34465
13,90,292,0,226,0,121,35,35677
14,90,298,0,226,0,127,35,36344
15,90,313,0,241,0,127,35,36227
