snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,15110,617,0,313,14960,348,106,488738
2,2809,185,0,74,2795,121,4,106526
3,3009,183,0,71,2995,122,4,116433
4,3094,194,0,75,3060,129,24,120388
5,4051,163,0,67,3985,108,54,121276
6,4215,169,0,74,4145,107,58,126235
7,4560,182,0,86,4485,109,62,132059
8,3597,92,0,63,3520,32,74,107726
9,0,0,0,0,0,0,0,0
10,6047,219,0,121,5980,114,51,186254
11,6329,219,0,125,6260,112,51,199870
