snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,1006,10403,231,4226,4898,1318,1198,3054349.0
2,0,678,0,160,327,189,2,20906.0
3,0,698,0,155,338,203,2,23252.0
4,198,801,0,263,402,142,192,58540.0
5,20,928,2,340,382,204,24,57006.0
6,50,1462,2,620,581,257,56,79743.0
7,80,1169,2,595,369,201,86,64433.0
8,120,2455,2,1210,890,355,122,136808.0
9,160,2523,47,1130,1001,390,209,133635.0
10,332,3251,47,1357,1510,397,366,1003429.0
11,322,3304,92,1377,1548,392,401,1015784.0
12,322,3340,92,1377,1566,410,401,1021611.0
