snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,270,3742,0,685,2834,223,270,151238
2,0,365,0,70,270,25,0,6820
3,30,410,0,115,270,25,30,10650
4,30,341,0,35,281,25,30,9245
5,40,406,0,35,340,31,40,12701
6,40,406,0,35,340,31,40,12701
7,40,541,0,115,385,41,40,16710
8,30,578,0,120,417,41,30,18180
9,30,631,0,120,465,46,30,22744
10,30,729,0,135,539,55,30,28149
11,30,696,0,130,520,46,30,27390
12,110,1033,0,190,790,53,110,46087
13,80,1070,0,200,817,53,80,46539
