snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,6,0,0,6,0,0,58
1,0,103,0,45,12,46,0,3713
2,270,847,0,660,233,214,10,73581
3,285,1072,0,810,259,268,20,80858
4,279,1432,0,1054,335,312,10,96064
5,289,1894,0,1194,542,427,20,133926
6,312,1975,0,1111,582,524,70,171353
7,367,3238,0,1591,945,949,120,197708
8,368,3488,0,1697,1087,952,120,220209
9,535,4558,0,2079,1515,1219,280,304175
