snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,45,2245,0,960,815,515,0,66586
2,0,1702,0,1300,340,62,0,70928
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,5,0,0,5,0,0,0,52
8,5,0,0,5,0,0,0,52
9,5,191,0,90,69,37,0,6285
10,5,191,0,90,69,37,0,6285
11,5,210,0,95,83,37,0,6426
12,5,225,0,110,83,37,0,6585
13,5,215,0,100,83,37,0,6472
14,5,215,0,100,83,37,0,6472
15,5,215,0,100,83,37,0,6472
16,5,210,0,95,83,37,0,6427
17,5,210,0,95,83,37,0,6429
18,5,554,0,175,165,219,0,15018
