snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,9,0,0,0,9,0,81.0
1,8752,75137,0,45193,22367,9460,6869,7246702.0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,1171,5304,0,2006,2593,969,907,243010.0
11,1191,5697,0,2042,2693,1226,927,250825.0
12,1226,5922,0,2117,2828,1246,957,254640.0
13,1263,11438,0,7519,2922,1273,987,1290462.0
14,1263,12365,0,8399,2939,1303,987,1327082.0
15,1253,12659,0,8329,3234,1372,977,1322491.0
16,1305,13234,0,8451,3554,1507,1027,1340632.0
17,10,7977,0,6315,1383,279,10,1190255.0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
