snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,0,109,0,80,29,0,0,5371
2,0,1375,0,470,887,18,0,64490
3,20,1451,0,495,803,33,140,72590
4,10,1509,0,505,838,46,130,83160
5,20,1621,0,515,914,72,140,104999
6,10,3550,0,1405,1750,275,130,154041
7,20,2932,0,1375,1446,111,20,123778
8,10,3077,0,1480,1440,157,10,121230
