snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,55,2344,0,1470,610,264,55,63394
2,10,465,0,275,132,58,10,13005
3,5,213,0,150,29,34,5,5973
4,5,198,0,145,29,24,5,5419
5,5,198,0,145,29,24,5,5419
6,5,198,0,145,29,24,5,5419
7,5,198,0,145,29,24,5,5419
8,5,198,0,145,29,24,5,5419
9,5,198,0,145,29,24,5,5419
10,5,188,0,135,29,24,5,5409
11,5,213,0,160,29,24,5,5433
12,5,213,0,160,29,24,5,5433
13,5,213,0,160,29,24,5,5433
14,5,188,0,135,29,24,5,5409
15,5,188,0,135,29,24,5,5409
16,5,252,0,125,103,24,5,7032
17,5,252,0,125,103,24,5,7032
18,5,252,0,125,103,24,5,7032
19,5,252,0,125,103,24,5,7032
20,5,252,0,125,103,24,5,7032
