snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,350,10520,0,3331,6367,893,279,570190.0
2,28,121,0,109,10,30,0,2610.0
3,0,0,0,0,0,0,0,0
4,0,109,0,65,15,19,10,864.0
5,0,44,0,0,15,19,10,971.0
6,10,168,0,20,120,28,10,18626.0
7,34,509,0,234,193,86,30,23084.0
8,14,343,0,129,184,34,10,13514.0
9,10,245,0,40,173,32,10,39475.0
10,9,575,0,204,283,97,0,26571.0
11,59,757,0,294,380,92,50,39332.0
12,109,731,0,214,426,98,102,44167.0
13,5,316,0,60,220,39,2,48406.0
14,16,1240,0,356,777,111,12,83139.0
15,16,1349,0,446,804,103,12,72822.0
16,36,1479,0,476,904,103,32,75528.0
17,36,1503,0,471,923,113,32,71103.0
18,36,2489,0,741,1640,107,37,106602.0
