snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,0,40,0,40,0,0,0,340.0
2,0,50,0,50,0,0,0,424.0
3,20,274,0,115,99,60,20,5534.0
4,50,318,0,140,102,76,50,6209.0
5,30,433,0,230,113,90,30,7289.0
6,30,515,0,295,113,107,30,8921.0
7,20,480,0,270,101,109,20,6896.0
8,45,742,0,415,112,220,40,13050.0
