snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,285,1323,0,795,387,416,10,102461
1,285,1572,0,840,487,520,10,121683
2,285,1680,0,895,515,545,10,132243
3,305,1755,0,895,531,604,30,149875
4,365,2006,0,985,539,757,90,156578
5,331,2177,0,995,653,810,50,170747
6,313,2300,0,1008,693,872,40,183076
7,314,2347,0,964,688,969,40,175169
8,313,2916,0,1188,870,1131,40,214784
9,309,3164,0,1289,980,1164,40,205324
