snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,4274,33116,0,16751,9977,6602,4060,2716711.0
2,333,8737,0,4677,2841,1332,220,576187.0
3,78,1753,0,803,677,281,70,117521.0
4,362,1947,0,793,794,372,350,123307.0
5,362,1947,0,793,794,372,350,123300.0
6,457,2003,0,813,806,396,445,125753.0
7,457,2106,0,983,688,447,445,133032.0
8,362,1953,0,799,794,372,350,124767.0
9,497,2158,0,1028,654,488,485,161874.0
10,567,1893,0,773,631,501,555,160651.0
11,567,1900,0,773,636,503,555,163506.0
12,617,1930,0,797,636,509,605,171513.0
13,557,2961,0,1362,922,699,535,267929.0
14,557,2968,0,1362,929,699,535,268777.0
15,325,3288,0,1662,976,670,305,264803.0
16,265,3415,0,1702,1035,708,235,279495.0
17,255,3481,0,1722,1064,725,225,294471.0
18,257,3504,0,1739,1066,731,225,297748.0
19,274,3899,0,1836,1342,740,255,326586.0
20,100,2939,0,1387,1050,552,50,222333.0
21,100,3109,0,1382,1182,605,40,235370.0
