snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,36,52,12,61,1,26,12,nan
2,41,47,14,57,1,30,14,nan
3,47,52,14,61,11,27,14,nan
