snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,14,0,0,14,0,0,134
1,1432,3648,0,1012,1533,1085,1450,48865
2,160,720,0,193,296,229,162,10443
3,70,325,0,87,136,102,70,5558
4,70,282,0,87,98,97,70,4047
5,70,286,0,87,104,95,70,4133
6,70,318,0,87,128,103,70,4211
7,70,325,0,87,135,103,70,4166
8,80,333,0,87,150,96,80,3978
9,80,333,0,87,150,96,80,3977
10,80,354,0,96,160,96,82,4161
11,80,331,0,96,137,96,82,4064
12,80,329,0,96,135,96,82,4062
13,80,329,0,96,135,96,82,4065
14,70,331,0,96,135,98,72,4169
15,70,327,0,96,135,94,72,4093
16,70,333,0,96,141,94,72,4170
17,70,394,0,106,159,127,72,5280
18,70,394,0,106,159,127,72,5283
19,70,394,0,106,159,127,72,5283
20,70,402,0,106,167,127,72,5282
