snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,7825,18332,58,14402,6405,5006,402,4152786.0
2,94,988,10,407,481,174,30,50587.0
3,161,1265,11,633,540,233,31,68900.0
4,151,1385,8,683,585,256,20,85225.0
5,774,1640,8,1263,703,436,20,176322.0
6,815,1712,7,1338,708,469,19,191219.0
7,1000,2204,7,1833,746,598,34,496004.0
8,949,2062,7,1633,744,607,34,484895.0
9,930,2188,6,1713,768,610,33,492804.0
10,959,2255,6,1773,788,626,33,517008.0
11,959,2143,6,1729,738,594,47,501520.0
12,971,2168,6,1766,738,594,47,519874.0
13,964,2152,6,1739,735,601,47,509320.0
14,964,2162,6,1749,735,601,47,509568.0
15,972,2172,6,1760,735,608,47,511698.0
16,972,2189,6,1760,747,613,47,521724.0
17,972,2189,6,1760,747,613,47,521724.0
