snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,60,61,0,0,56,5,60,951.0
1,1935,25774,0,3140,20576,2125,1868,3189214.0
2,2075,28257,0,4845,22107,1340,2040,4389238.0
3,435,6662,0,1162,5084,427,424,1014868.0
4,15,974,0,155,684,140,10,80757.0
5,55,1305,0,200,935,175,50,115393.0
6,35,1378,0,215,998,170,30,128954.0
7,35,1449,0,215,1064,175,30,149653.0
8,35,1733,0,260,1298,180,30,164307.0
9,25,1788,0,260,1348,185,20,171845.0
10,30,1904,0,286,1453,170,25,185138.0
11,180,2179,0,296,1711,185,167,231150.0
12,220,2296,0,331,1778,200,207,264488.0
13,220,2679,0,316,2171,205,207,354234.0
14,210,2679,0,306,2171,205,207,353678.0
15,210,2684,0,301,2176,210,207,354031.0
16,210,2674,0,306,2161,210,207,349955.0
17,210,2690,0,301,2166,226,207,351663.0
18,210,2690,0,301,2166,226,207,351656.0
19,210,2681,0,301,2162,221,207,351474.0
20,205,2436,0,291,2122,26,202,298604.0
21,205,2584,0,486,2075,26,202,383602.0
22,205,2818,0,496,2174,151,202,452261.0
23,205,2826,0,496,2182,151,202,452478.0
24,205,2818,0,496,2174,151,202,454238.0
25,205,2818,0,496,2174,151,202,454250.0
26,205,2818,0,496,2174,151,202,454250.0
27,205,2813,0,501,2164,151,202,460457.0
28,205,2816,0,496,2172,151,202,466818.0
29,205,2823,0,496,2179,151,202,468378.0
30,205,2852,0,501,2203,151,202,471500.0
31,205,2852,0,501,2203,151,202,471500.0
