snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,30,0,0,30,0,0,135
5,0,35,0,0,35,0,0,178
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,85,0,20,0,65,0,2376
