snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,80,1101,0,395,320,386,80,21156.0
2,70,1006,0,390,280,336,70,19613.0
3,30,469,0,205,120,144,30,8685.0
4,20,0,0,0,0,0,20,328.0
5,0,74,0,45,0,29,0,1239.0
6,0,74,0,45,0,29,0,1239.0
7,0,74,0,45,0,29,0,1239.0
8,0,0,0,0,0,0,0,0
9,0,74,0,45,0,29,0,1239.0
10,0,0,0,0,0,0,0,0
11,10,135,0,45,40,50,10,2711.0
12,10,138,0,50,40,48,10,2635.0
13,0,0,0,0,0,0,0,0
14,10,138,0,50,40,48,10,2635.0
15,10,138,0,50,40,48,10,2635.0
16,10,138,0,50,40,48,10,2635.0
17,10,138,0,50,40,48,10,2635.0
18,10,138,0,50,40,48,10,2635.0
19,10,138,0,50,40,48,10,2635.0
20,0,0,0,0,0,0,0,0
21,10,138,0,50,40,48,10,2635.0
22,0,0,0,0,0,0,0,0
23,10,138,0,50,40,48,10,2635.0
24,10,148,0,60,40,48,10,2927.0
25,10,148,0,60,40,48,10,2927.0
26,10,138,0,50,40,48,10,2635.0
27,0,0,0,0,0,0,0,0
28,10,148,0,60,40,48,10,2927.0
29,10,148,0,60,40,48,10,2927.0
30,10,153,0,65,40,48,10,2955.0
31,10,153,0,65,40,48,10,2955.0
32,10,143,0,55,40,48,10,2663.0
33,0,5,0,5,0,0,0,28.0
34,0,5,0,5,0,0,0,28.0
35,0,5,0,5,0,0,0,28.0
36,0,5,0,5,0,0,0,28.0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,10,0,0,0,0,0,10,164.0
46,10,0,0,0,0,0,10,164.0
