snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,40,15,0,5,0,10,40,420.0
2,50,211,0,90,77,40,54,2102.0
3,50,226,0,100,77,45,54,2272.0
4,50,226,0,100,77,45,54,2282.0
5,70,236,0,130,77,45,54,2458.0
6,70,236,0,130,77,45,54,2462.0
7,70,236,0,130,77,45,54,2456.0
8,70,226,0,130,72,40,54,2198.0
