snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,1623,31070,48,16051,12257,2903,1530,17189972
2,82,1251,0,397,701,139,96,156150
3,185,3195,0,2104,790,406,80,2794615
4,230,3412,4,2113,1009,404,120,2781461
5,242,3578,4,2339,940,387,158,2793045
6,240,3969,4,2344,1322,395,152,2851764
7,240,4023,4,2354,1364,395,154,2854827
8,240,4063,6,2366,1389,400,154,2859365
9,280,4794,2,2512,1843,495,226,2828302
10,280,4841,2,2512,1884,501,226,2831139
11,248,4173,6,2414,1439,414,160,2872258
12,285,5497,10,2730,2233,503,326,2872042
13,285,5531,10,2730,2265,503,328,2873155
14,255,5237,10,2750,2055,457,240,2853776
15,255,5239,10,2750,2047,467,240,2857148
