snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,3305,15790,0,11892,4169,2398,636,1094400.0
2,145,3771,0,2271,1010,503,132,197769.0
3,260,4518,0,2626,1357,573,222,270896.0
4,275,4877,0,2826,1481,613,232,298426.0
5,314,5402,0,3195,1539,730,252,340368.0
6,454,5615,0,3520,1554,763,232,369801.0
7,1570,6180,0,4901,1661,946,242,464168.0
8,1570,6216,0,4941,1653,950,242,468577.0
9,1530,5454,0,4556,1328,888,212,440950.0
10,1580,6198,0,4896,1665,965,252,468746.0
11,1580,6219,0,4906,1676,965,252,469921.0
