snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,8,3023,2,1158,878,983,14,154097.0
1,1876,46669,26,23545,15522,6460,3044,2894902.0
2,18,4469,2,2038,1416,1011,24,364969.0
3,98,4560,2,1788,1717,1051,104,379622.0
4,18,4708,4,1948,1671,1085,26,377662.0
5,0,2824,0,1280,881,653,10,207381.0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,43,5150,2,3208,723,1222,42,245192.0
11,10,220,0,55,35,70,70,11408.0
12,87,4636,2,2728,962,951,84,217026.0
13,40,944,4,174,358,316,140,96837.0
14,193,3635,0,1909,1403,294,222,150151.0
15,223,3991,0,2069,1518,275,352,215785.0
16,412,5276,4,2272,2157,643,620,337088.0
17,400,6204,4,3019,2306,633,650,424612.0
18,230,6217,4,3169,2326,526,430,429005.0
19,230,6648,4,3429,2507,526,420,479727.0
