snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,181,96,0,51,205,21,0,6595
1,211,6439,0,386,2229,3565,470,3069061
2,5,2167,0,155,668,1209,140,1356339
3,5,150,0,35,93,27,0,3267
4,5,240,0,35,127,73,10,7616
5,5,248,0,35,127,81,10,9921
6,5,248,0,35,127,81,10,9932
7,5,248,0,35,127,81,10,9926
8,10,144,0,0,46,98,10,13044
9,10,144,0,0,46,98,10,13044
10,10,144,0,0,46,98,10,13044
11,10,144,0,0,46,98,10,13048
12,0,607,0,20,203,334,50,255406
13,0,623,0,20,211,342,50,267543
14,0,623,0,20,211,342,50,267547
15,10,655,0,20,229,356,60,279185
16,0,721,0,60,229,382,50,308996
17,0,729,0,60,229,390,50,321657
18,0,1040,0,65,313,592,70,656547
19,0,1052,0,65,307,610,70,678992
20,0,1046,0,65,309,602,70,677922
21,0,1046,0,65,309,602,70,677922
