snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,85,0,75,0,10,0,4208.0
1,1244,30421,0,15984,7194,8377,110,3369753.0
2,18,229,0,164,23,50,10,6744.0
3,128,435,0,358,50,55,100,19416.0
4,62,485,0,352,87,78,30,22508.0
5,62,522,0,382,96,76,30,23464.0
6,62,562,0,412,96,86,30,24621.0
7,66,661,0,451,126,120,30,34156.0
8,58,1333,0,883,241,257,10,94052.0
9,55,2023,0,1135,492,441,10,189968.0
10,59,2555,0,1325,621,658,10,264615.0
11,61,2963,0,1612,641,771,0,307805.0
12,61,3148,0,1707,653,849,0,327845.0
13,157,3352,0,1788,769,952,0,358437.0
14,157,3429,0,1788,822,976,0,371463.0
15,159,3595,0,1900,846,1008,0,403280.0
16,159,3572,0,1850,875,1006,0,424847.0
17,159,3760,0,1905,966,1048,0,439612.0
18,259,3772,0,1910,967,1054,100,463722.0
