snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,48,0,30,0,18,0,369
1,1,446,0,211,171,65,0,13407
2,1,1171,0,551,395,226,0,62242
3,1,1173,0,551,395,228,0,63460
4,1,1258,0,571,460,228,0,67013
5,1,1327,0,591,480,257,0,75742
6,1,1436,0,666,485,286,0,82765
