Repos_Name,flag,Type,ID,Category,Final
evaleev/libint,1,ToolKit,20,Quantum,1
qojulia/QuantumOptics.jl,1,ToolKit,20,Quantum,1
jcmgray/quimb,1,ToolKit,20,Quantum,1
XanaduAI/pennylane,1,ToolKit,20,Quantum,1
OriginQ/QPanda-2,1,ToolKit,20,Quantum,1
CQCL/pytket,1,ToolKit,20,Quantum,1
bloomberg/quantum,1,ToolKit,20,Quantum,1
rigetti/forest-benchmarking,1,ToolKit,20,Quantum,1
QInfer/python-qinfer,1,ToolKit,20,Quantum,1
zoran-cuckovic/QGIS-visibility-analysis,1,ToolKit,20,Quantum,1
qubekit/QUBEKit,1,ToolKit,20,Quantum,1
tensorflow/quantum,1,ToolKit,20,Quantum,1
redhat-cip/openstack-quantum-puppet,1,ToolKit,20,Quantum,1
boschmitt/tweedledum,1,ToolKit,20,Quantum,1
TRIQS/triqs,1,ToolKit,20,Quantum,1
QuTech-Delft/qtt,1,ToolKit,20,Quantum,1
lmacken/quantumrandom,1,ToolKit,20,Quantum,1
qucat/qucat,1,ToolKit,20,Quantum,1
Qiskit/qiskit-ignis,1,ToolKit,20,Quantum,1
orbkit/orbkit,1,ToolKit,20,Quantum,1
AppImage/AppImageKit,1,None-Quantum,34,None-Quantum,0
mjolnirapp/mjolnir,1,None-Quantum,34,None-Quantum,0
owntracks/recorder,1,None-Quantum,34,None-Quantum,0
ps2homebrew/Open-PS2-Loader,1,None-Quantum,34,None-Quantum,0
cquery-project/cquery,1,None-Quantum,34,None-Quantum,0
zetavm/zetavm,1,None-Quantum,34,None-Quantum,0
Chuyu-Team/Dism-Multi-language,1,None-Quantum,34,None-Quantum,0
keystonejs/keystone-classic,1,None-Quantum,34,None-Quantum,0
dcloudio/mui,1,None-Quantum,34,None-Quantum,0
SciML/DifferentialEquations.jl,1,None-Quantum,34,None-Quantum,0
Kunstmaan/KunstmaanBundlesCMS,1,None-Quantum,34,None-Quantum,0
quack/quack,1,None-Quantum,34,None-Quantum,0
kivy/kivy,1,None-Quantum,34,None-Quantum,0
lbryio/lbry-sdk,1,None-Quantum,34,None-Quantum,0
emeryberger/CSrankings,1,None-Quantum,34,None-Quantum,0
Nuitka/Nuitka,1,None-Quantum,34,None-Quantum,0
guanguans/favorite-link,1,None-Quantum,34,None-Quantum,0
dpgaspar/Flask-AppBuilder,1,None-Quantum,34,None-Quantum,0
plotly/dash,1,None-Quantum,34,None-Quantum,0
AppDaemon/appdaemon,1,None-Quantum,34,None-Quantum,0
janeczku/calibre-web,1,None-Quantum,34,None-Quantum,0
flexxui/flexx,1,None-Quantum,34,None-Quantum,0
pre-commit/pre-commit,1,None-Quantum,34,None-Quantum,0
falconry/falcon,1,None-Quantum,34,None-Quantum,0
frappe/bench,1,None-Quantum,34,None-Quantum,0
nvbn/thefuck,1,None-Quantum,34,None-Quantum,0
pinax/pinax-stripe,1,None-Quantum,34,None-Quantum,0
django-tastypie/django-tastypie,1,None-Quantum,34,None-Quantum,0
jieter/django-tables2,1,None-Quantum,34,None-Quantum,0
google/personfinder,1,None-Quantum,34,None-Quantum,0
django-crispy-forms/django-crispy-forms,1,None-Quantum,34,None-Quantum,0
wooey/Wooey,1,None-Quantum,34,None-Quantum,0
rajkumardusad/Tool-X,1,None-Quantum,34,None-Quantum,0
vim-vdebug/vdebug,1,None-Quantum,34,None-Quantum,0
Aris-t2/CustomCSSforFx,1,Web-Extension,17,Web-Extension,0
catho/quantum,1,Web-Extension,17,Web-Extension,0
supernomad/quantum,1,Cryptography,17,,1
quantacms/quanta,1,Web-Extension,17,Web-Extension,0
firebug/websocket-monitor,1,Web-Extension,17,Web-Extension,0
dauphine-dev/drop-feeds,1,Web-Extension,17,Web-Extension,0
Quantum-Manager/quantummanager,1,Web-Extension,17,Web-Extension,0
deepchem/deepchem,1,ToolKit,17,Quantum,1
aiidateam/aiida-quantumespresso,1,ToolKit,17,Quantum,1
foxyproxy/firefox-extension,1,Web-Extension,17,Web-Extension,0
Izheil/Quantum-Nox-Firefox-Dark-Full-Theme,1,Web-Extension,17,Web-Extension,0
spikespaz/firefox-nativedark,1,Web-Extension,17,Web-Extension,0
arguelles/nuSQuIDS,1,Simulator,17,Quantum,1
qrefine/qrefine,1,Quantum Algorithsm,17,Quantum,1
mabuchilab/QNET,1,Quantum Algorithsm,14,Quantum,1
