Repos_Name,Names,Created_at,login,Fork,Size,stars,releases,open_issues,commits,contributors,Travis,Docker,Language,tyoe,total_pr,total_is,created_at,updated_at,age,file_name,flag,Type,homepage,Description
qiskit-community/qiskit-js,qiskit-js,2017-11-21T09:34:29Z,qiskit-community,31,4211,86,23,20,367,7,1,0,JavaScript,1,56,69,2017-11-21T09:34:29Z,2020-09-18T11:43:11Z,1032,qiskit-js_snapshots,1,Full-stack Library/ Framework,,:atom_symbol: Qiskit (Quantum Information Science Kit) for JavaScript
Qiskit/qiskit-aqua,qiskit-aqua,2018-06-12T20:46:28Z,Qiskit,262,49630,359,23,53,5424,56,1,0,Python,1,899,1193,2018-06-12T20:46:28Z,2020-09-25T22:04:24Z,836,qiskit-aqua_snapshots,1,Quantum Algorithsm,https://qiskit.org/aqua,Quantum Algorithms & Applications in Python
qiskit-community/qiskit-vscode,qiskit-vscode,2018-07-19T15:59:16Z,qiskit-community,17,7218,51,23,7,321,7,1,0,HTML,1,61,83,2018-07-19T15:59:16Z,2020-06-22T16:37:39Z,704,qiskit-vscode_snapshots,1,Full-stack Library/ Framework,https://qiskit.org/vscode,Simplifying Qiskit to make developing quantum circuits and applications faster
rigetti/rpcq,rpcq,2018-10-11T19:38:34Z,rigetti,20,342,53,23,19,114,20,0,1,Common Lisp,1,100,115,2018-10-11T19:38:34Z,2020-09-25T12:07:17Z,714,rpcq_snapshots,1,Full-stack Library/ Framework,,The RPC framework and message specification for @rigetti Quantum Cloud Services.
SebWouters/CheMPS2,CheMPS2,2013-11-18T15:29:44Z,SebWouters,23,180430,45,22,3,652,4,1,0,C++,1,23,71,2013-11-18T15:29:44Z,2020-07-08T14:22:29Z,2423,CheMPS2_84_snapshots,1,Chemistry/ Other-Quantum,,CheMPS2: a spin-adapted implementation of DMRG for ab initio quantum chemistry
issp-center-dev/HPhi,HPhi,2015-09-11T02:40:51Z,issp-center-dev,16,384920,42,22,6,1752,9,1,0,Shell,1,39,99,2015-09-11T02:40:51Z,2020-09-24T00:43:04Z,1839,HPhi_snapshots,1,Simulator,https://www.pasums.issp.u-tokyo.ac.jp/hphi/en/,Quantum Lattice Model Simulator Package
Perfecto-Quantum/Quantum,Quantum,2016-11-03T08:18:00Z,Perfecto-Quantum,17,16374,12,22,20,104,8,0,0,Java,1,6,57,2016-11-03T08:18:00Z,2020-09-24T15:50:02Z,1421,Quantum_snapshots,1,Other-Quantum,,"Contains all the Perfecto specific step, listeners and utils"
quantacms/quanta,quanta,2017-01-23T15:51:57Z,quantacms,5,20074,23,21,22,1212,4,0,0,PHP,1,277,287,2017-01-23T15:51:57Z,2020-09-25T08:06:55Z,1340,quanta_87_snapshots,1,Other-Quantum,http://www.quantacms.com,"An innovative, DB-free CMS for web and application development, based on the principles of Quantum physics."
SoftwareQuTech/SimulaQron,SimulaQron,2017-06-25T10:14:59Z,SoftwareQuTech,40,6661,68,21,9,788,20,1,1,Python,1,162,255,2017-06-25T10:14:59Z,2020-09-12T14:12:11Z,1175,SimulaQron_88_snapshots,1,Simulator,,Quantum Network Simulator for Application Programming
QEF/q-e,q-e,2018-02-02T10:10:24Z,QEF,144,498996,267,21,0,2630,46,1,0,Fortran,1,6,32,2018-02-02T10:10:24Z,2020-09-20T15:11:08Z,961,N/A,0,Other-Quantum,,Mirror of the Quantum ESPRESSO repository
exaexa/codecrypt,codecrypt,2012-11-05T22:09:23Z,exaexa,26,20181,244,19,0,374,6,0,0,C++,1,4,35,2012-11-05T22:09:23Z,2020-08-27T01:29:34Z,2851,codecrypt_90_snapshots,1,Cryptography,https://gitea.blesmrt.net/exa/codecrypt,"Post-quantum cryptography tool (THIS REPOSITORY IS ONLY A MIRROR OF THE MAIN ONE, PLEASE DO NOT FILE BUGS HERE)"
firebug/websocket-monitor,websocket-monitor,2015-10-01T06:34:39Z,firebug,24,533,147,19,23,200,7,1,0,JavaScript,1,16,61,2015-10-01T06:34:39Z,2020-08-20T10:10:59Z,1785,websocket-monitor_91_snapshots,1,Other-Quantum,,Not compatible with Firefox Quantum (57 and newer)
QEF/q-e_schrodinger,q-e_schrodinger,2016-08-07T20:52:28Z,QEF,5,400236,7,19,1,3668,22,1,0,Fortran,1,33,34,2016-08-07T20:52:28Z,2020-04-03T19:41:36Z,1334,N/A,0,,,Quantum ESPRESSO package for integration into Schrödinger’s Materials Science Suite
Quantum-Dynamics-Hub/libra-code,libra-code,2017-08-24T09:07:06Z,Quantum-Dynamics-Hub,16,365403,10,19,1,690,7,1,0,Jupyter Notebook,1,91,95,2017-08-24T09:07:06Z,2020-09-25T20:39:28Z,1128,libra-code_93_snapshots,1,Chemistry/ Other-Quantum,https://quantum-dynamics-hub.github.io/libra/index.html,
shinmorino/sqaod,sqaod,2017-10-24T13:39:16Z,shinmorino,9,66834,35,19,7,991,1,0,0,C++,1,7,60,2017-10-24T13:39:16Z,2020-04-15T06:16:53Z,903,sqaod_94_snapshots,1,Quantum Annealing,https://github.com/shinmorino/sqaod/wiki,Solvers/annealers for simulated quantum annealing on CPU and CUDA(NVIDIA GPU).
Quantum-Game/quantum-game-2,quantum-game-2,2019-09-16T09:47:21Z,Quantum-Game,9,4719,18,19,23,550,9,1,0,Vue,1,202,229,2019-09-16T09:47:21Z,2020-09-25T09:56:51Z,375,quantum-game-2_95_snapshots,1,Fun/ Game,https://quantumgame.io,"Quantum Game 2 from Centre of Quantum Technologies, NUS"
QuantumBFS/Yao.jl,Yao.jl,2018-04-13T13:47:02Z,QuantumBFS,45,14433,335,18,14,477,8,1,0,Julia,1,136,238,2018-04-13T13:47:02Z,2020-09-24T14:00:37Z,895,Yao.jl_96_snapshots,1,Simulator,http://yaoquantum.org,"Extensible, Efficient Quantum Algorithm Design for Humans."
psi4/psi4,psi4,2013-04-02T16:21:04Z,psi4,269,97782,430,17,193,6300,81,0,0,C++,1,1149,1812,2013-04-02T16:21:04Z,2020-09-22T13:31:34Z,2729,N/A,0,,http://psicode.org,Open-Source Quantum Chemistry – an electronic structure package in C++ driven by Python
TRIQS/triqs,triqs,2013-07-17T16:06:50Z,TRIQS,47,14086,89,17,73,2259,25,1,1,C++,1,216,727,2013-07-17T16:06:50Z,2020-09-05T22:18:30Z,2607,triqs_98_snapshots,1,Tool,https://triqs.github.io,a Toolbox for Research on Interacting Quantum Systems
Technus/TecTech,TecTech,2017-03-09T12:43:44Z,Technus,15,76344,14,17,0,938,9,0,0,Java,1,21,37,2017-03-09T12:43:44Z,2020-09-14T18:20:01Z,1285,N/A,0,,,GT5u nuclear and quantum physics addon
Strilanc/Quirk,Quirk,2014-03-05T23:31:28Z,Strilanc,77,21709,497,16,31,1297,3,1,0,JavaScript,1,135,428,2014-03-05T23:31:28Z,2020-09-25T11:53:22Z,2395,Quirk_100_snapshots,1,Simulator,http://algassert.com/quirk,A drag-and-drop quantum circuit simulator that runs in your browser. A toy for exploring and understanding small quantum circuits.
sedabull/quantum-shell,quantum-shell,2015-01-27T06:51:10Z,sedabull,5,2483,19,16,11,150,1,0,0,CoffeeScript,1,6,17,2015-01-27T06:51:10Z,2019-08-17T20:06:53Z,1663,quantum-shell_101_snapshots,1,Experimentation,,An experimental terminal emulator for the Atom text editor
quantum-journal/quantum-journal,quantum-journal,2016-03-22T17:04:23Z,quantum-journal,13,10236,40,16,4,327,8,1,0,Jupyter Notebook,1,41,105,2016-03-22T17:04:23Z,2020-08-26T01:07:41Z,1617,N/A,0,,https://quantum-journal.org/quantumarticle/,LaTeX template class for Quantum - the open journal for quantum science
ProjectQ-Framework/ProjectQ,ProjectQ,2016-12-28T09:31:53Z,ProjectQ-Framework,196,1005,625,16,35,193,18,1,0,Python,1,241,343,2016-12-28T09:31:53Z,2020-09-26T01:21:43Z,1367,ProjectQ_103_snapshots,1,Full-stack Library/ Framework,https://projectq.ch,ProjectQ: An open source software framework for quantum computing
Qiskit/qiskit-aer,qiskit-aer,2018-12-17T19:58:16Z,Qiskit,160,13922,140,16,55,495,38,1,0,Python,1,591,863,2018-12-17T19:58:16Z,2020-09-25T20:08:09Z,647,qiskit-aer_104_snapshots,1,Simulator,https://qiskit.org/aer,Aer is a high performance simulator for quantum circuits that includes noise models
QuantumPackage/qp2,qp2,2019-01-25T08:32:32Z,QuantumPackage,10,20402,22,16,1,550,6,1,0,Fortran,1,123,130,2019-01-25T08:32:32Z,2020-09-02T16:48:51Z,586,qp2_105_snapshots,1,Full-stack Library/ Framework,https://quantumpackage.github.io/qp2/,Quantum Package : a programming environment for wave function methods
quantumlib/OpenFermion,OpenFermion,2017-09-21T22:10:28Z,quantumlib,239,3994,941,15,61,392,41,0,1,Python,1,457,597,2017-09-21T22:10:28Z,2020-09-25T12:04:23Z,1099,OpenFermion_106_snapshots,1,Quantum Algorithsm,,The electronic structure package for quantum computers.
dauphine-dev/drop-feeds,drop-feeds,2018-02-08T16:49:45Z,dauphine-dev,10,3319,17,15,5,1049,7,0,0,JavaScript,1,58,117,2018-02-08T16:49:45Z,2020-08-23T20:11:43Z,927,drop-feeds_107_snapshots,1,Other-Quantum,https://addons.mozilla.org/fr/firefox/addon/drop-feeds/,Drop Feeds is a Sage / Sage++ like addon (webextension) for Firefox Quantum
XanaduAI/strawberryfields,strawberryfields,2018-03-26T14:38:39Z,XanaduAI,88,15802,377,15,26,792,26,1,0,Python,1,371,436,2018-03-26T14:38:39Z,2020-09-26T03:29:39Z,914,strawberryfields_108_snapshots,1,Full-stack Library/ Framework,https://strawberryfields.readthedocs.io,"Strawberry Fields is a full-stack Python library for designing, simulating, and optimizing continuous variable (CV) quantum optical circuits."
qutip/qutip,qutip,2012-10-09T06:20:46Z,qutip,353,20039,841,14,143,4105,64,1,0,Python,1,806,1213,2012-10-09T06:20:46Z,2020-09-25T15:11:34Z,2908,qutip_109_snapshots,1,Simulator,http://qutip.org,QuTiP: Quantum Toolbox in Python
jcmgray/quimb,quimb,2015-12-09T14:02:41Z,jcmgray,20,12146,121,14,16,1171,6,0,0,Python,1,19,48,2015-12-09T14:02:41Z,2020-09-22T15:05:29Z,1749,quimb_110_snapshots,1,Library/ Framework,http://quimb.readthedocs.io,A python library for quantum information and many-body calculations including tensor networks.
QMCPACK/qmcpack,qmcpack,2017-01-11T19:02:29Z,QMCPACK,74,216665,124,14,287,9592,38,0,0,C++,1,1871,2434,2017-01-11T19:02:29Z,2020-09-25T18:39:33Z,1352,qmcpack_111_snapshots,1,Chemistry/ Other-Quantum,http://www.qmcpack.org,"Main repository for QMCPACK, an open-source production level many-body ab initio Quantum Monte Carlo code for computing the electronic structure of atoms, molecules, and solids."
QuEST-Kit/QuEST,QuEST,2017-03-28T12:00:18Z,QuEST-Kit,47,10500,150,14,55,1084,7,0,0,C++,1,106,219,2017-03-28T12:00:18Z,2020-09-21T13:44:39Z,1273,QuEST_112_snapshots,1,Simulator,https://quest.qtechtheory.org/,"A multithreaded, distributed, GPU-accelerated simulator of quantum computers"
QE-Lab/OpenQL,OpenQL,2017-04-13T14:16:16Z,QE-Lab,14,11137,17,14,50,1101,19,1,0,C++,1,137,303,2017-04-13T14:16:16Z,2020-09-07T06:27:18Z,1242,OpenQL_113_snapshots,1,Compiler,https://openql.readthedocs.io,Quantum compiler
Quantum-Manager/quantummanager,quantummanager,2018-12-31T04:59:44Z,Quantum-Manager,5,1014,13,14,0,141,4,0,0,JavaScript,1,33,33,2018-12-31T04:59:44Z,2020-08-25T16:34:03Z,603,quantummanager_114_snapshots,1,Other-Quantum,,Revolutionary File & Media Manager for Joomla! CMS
mkuznets/quantum-mechanics-lectures,quantum-mechanics-lectures,2013-11-22T17:33:08Z,mkuznets,13,841,12,13,6,285,11,1,0,TeX,1,29,30,2013-11-22T17:33:08Z,2020-03-20T13:41:40Z,2309,N/A,0,,,Lecture notes on Quantum Mechanics for DREC MIPT students
deepchem/deepchem,deepchem,2015-09-24T23:20:28Z,deepchem,720,449487,2145,13,195,4319,74,1,1,Python,1,1094,1903,2015-09-24T23:20:28Z,2020-09-26T01:22:58Z,1828,deepchem_116_snapshots,1,Other-Quantum,https://deepchem.io/,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology"
aiidateam/aiida-quantumespresso,aiida-quantumespresso,2017-06-20T12:54:43Z,aiidateam,30,4400,21,13,30,536,18,0,0,Python,1,289,517,2017-06-20T12:54:43Z,2020-09-22T07:40:58Z,1189,aiida-quantumespresso_117_snapshots,1,Other-Quantum,,The official AiiDA plugin for Quantum ESPRESSO
foxyproxy/firefox-extension,firefox-extension,2019-06-28T17:58:23Z,foxyproxy,30,47480,79,13,17,205,3,0,0,JavaScript,1,55,95,2019-06-28T17:58:23Z,2020-09-24T16:36:46Z,453,firefox-extension_118_snapshots,1,Other-Quantum,,FoxyProxy for Firefox extension beginning with Firefox 57 (Quantum)
rigetti/grove,grove,2016-12-22T01:08:42Z,rigetti,109,4579,301,12,47,510,24,0,0,Python,1,130,173,2016-12-22T01:08:42Z,2020-09-25T12:06:12Z,1373,grove_119_snapshots,1,Quantum Algorithsm,http://rigetti.com/forest,Quantum algorithms built using pyQuil.
vm6502q/qrack,qrack,2017-12-21T01:15:29Z,vm6502q,9,13360,54,12,5,684,5,1,0,C++,1,425,479,2017-12-21T01:15:29Z,2020-09-25T00:15:26Z,1008,qrack_120_snapshots,1,Simulator,,"Comprehensive, GPU accelerated framework for developing universal virtual quantum processors"
XanaduAI/pennylane,pennylane,2018-04-17T16:45:42Z,XanaduAI,133,27738,487,12,42,1398,23,1,0,Python,1,597,782,2018-04-17T16:45:42Z,2020-09-25T22:17:33Z,892,pennylane_121_snapshots,1,Library/ Framework,https://pennylane.ai,"PennyLane is a cross-platform Python library for quantum machine learning, automatic differentiation, and optimization of hybrid quantum-classical computations"
netket/netket,netket,2018-04-23T18:48:08Z,netket,80,51340,198,12,27,1699,24,1,0,C++,1,299,438,2018-04-23T18:48:08Z,2020-09-23T04:21:27Z,883,netket_122_snapshots,1,Quantum Algorithsm,https://www.netket.org,Machine learning algorithms for many-body quantum systems 
XanaduAI/thewalrus,thewalrus,2018-05-11T18:49:44Z,XanaduAI,17,14198,32,12,11,739,13,1,0,Python,1,157,184,2018-05-11T18:49:44Z,2020-09-14T17:30:15Z,856,thewalrus_123_snapshots,1,Quantum Algorithsm,https://the-walrus.readthedocs.io,"A library for the calculation of hafnians, Hermite polynomials and Gaussian boson sampling."
cp2k/cp2k,cp2k,2018-10-02T10:42:51Z,cp2k,138,190584,214,12,79,1215,35,0,1,Fortran,1,857,1032,2018-10-02T10:42:51Z,2020-09-25T15:01:51Z,724,cp2k_124_snapshots,1,Chemistry/ Other-Quantum,https://www.cp2k.org,Quantum chemistry and solid state physics software package
qulacs/qulacs,qulacs,2018-10-05T05:39:51Z,qulacs,48,1162,138,12,14,503,17,1,1,C++,1,174,233,2018-10-05T05:39:51Z,2020-09-09T02:29:25Z,704,qulacs_125_snapshots,1,Simulator,,Variational Quantum Circuit Simulator for Quantum Computation Research
sanshar/Block,Block,2012-06-06T18:46:27Z,sanshar,35,101767,21,11,7,634,10,0,0,C,1,25,45,2012-06-06T18:46:27Z,2020-02-24T05:26:02Z,2818,N/A,0,,,Block implements the density matrix renormalization group (DMRG) algorithm for quantum chemistry.
votca/xtp,xtp,2016-01-20T17:47:47Z,votca,10,39463,20,11,33,3627,16,1,0,C++,1,400,526,2016-01-20T17:47:47Z,2020-09-25T17:17:33Z,1709,xtp_127_snapshots,1,Chemistry/ Other-Quantum,,"GW-BSE for excited state Quantum Chemistry in a Gaussian Orbital basis, electronic spectroscopy with QM/MM, charge and energy dynamics in complex molecular systems"
OriginQ/QPanda-2,QPanda-2,2018-06-05T08:23:20Z,OriginQ,35,15205,83,11,2,450,8,1,0,C++,1,98,107,2018-06-05T08:23:20Z,2020-09-22T11:40:13Z,840,QPanda-2_128_snapshots,1,Library/ Framework,http://originqc.com.cn/QPanda/download.html,"QPanda 2 is an open source quantum computing framework developed by  OriginQC that can be used to build, run, and optimize quantum algorithms. "
CQCL/pytket,pytket,2018-07-11T09:39:17Z,CQCL,22,15122,76,11,0,192,5,0,0,,1,7,26,2018-07-11T09:39:17Z,2020-09-23T16:21:36Z,805,pytket_129_snapshots,1,Library/ Framework,,Python module for interfacing with the CQC t|ket> library of quantum software
Izheil/Quantum-Nox-Firefox-Dark-Full-Theme,Quantum-Nox-Firefox-Dark-Full-Theme,2017-11-23T08:38:20Z,Izheil,35,13497,249,10,3,1172,4,0,0,CSS,1,4,79,2017-11-23T08:38:20Z,2020-09-25T22:05:55Z,1037,Quantum-Nox-Firefox-Dark-Full-Theme_130_snapshots,1,Other-Quantum,,"These usercontent and userchrome files will give a full themed dark color to Firefox Quantum, menus and dialogs included, as well as the scrollbars. It will also enable multirow/multiple rows tabs."
Blueqat/Blueqat,Blueqat,2018-08-02T00:18:23Z,Blueqat,24,1043,245,10,11,528,8,0,0,Python,1,73,94,2018-08-02T00:18:23Z,2020-09-22T02:33:46Z,782,Blueqat_131_snapshots,1,Full-stack Library/ Framework,,Quantum Computer Library for Everyone
qucontrol/krotov,krotov,2018-11-06T19:21:21Z,qucontrol,13,57175,25,10,4,483,7,1,0,Python,1,8,72,2018-11-06T19:21:21Z,2020-09-10T15:18:37Z,673,krotov_132_snapshots,1,Quantum Algorithsm,https://qucontrol.github.io/krotov,Python implementation of Krotov's method for quantum optimal control
iitis/QuantumInformation.jl,QuantumInformation.jl,2014-09-11T12:15:35Z,iitis,12,743,41,9,9,473,12,1,0,Julia,1,39,76,2014-09-11T12:15:35Z,2020-08-09T13:39:14Z,2159,QuantumInformation.jl_133_snapshots,1,Experimentation,https://zksi.github.io/QuantumInformation.jl/latest,A Julia package for numerical computation in quantum information theory
qutech/qupulse,qupulse,2015-01-27T13:27:55Z,qutech,13,8383,20,9,72,1878,14,1,0,Python,1,286,472,2015-01-27T13:27:55Z,2020-08-11T14:56:27Z,2023,qupulse_134_snapshots,1,Experimentation,,Quantum Computing Toolkit for Qubit Control
epiqc/ScaffCC,ScaffCC,2016-05-25T19:18:15Z,epiqc,40,63575,116,9,12,168,11,0,0,C++,1,17,33,2016-05-25T19:18:15Z,2020-09-24T19:27:22Z,1583,N/A,0,Compiler,,"Compilation, analysis and optimization framework for the Scaffold quantum programming language."
issp-center-dev/mVMC,mVMC,2016-10-26T08:42:12Z,issp-center-dev,7,60232,28,9,2,592,7,0,0,C,1,7,14,2016-10-26T08:42:12Z,2020-09-24T17:21:54Z,1429,N/A,0,,http://www.pasums.issp.u-tokyo.ac.jp/mvmc/en/,A numerical solver package for a wide range of quantum lattice models based on many-variable Variational Monte Carlo method
quantumlib/Cirq,Cirq,2017-12-14T23:41:49Z,quantumlib,451,8593,2345,9,294,1503,73,1,1,Python,1,2066,3054,2017-12-14T23:41:49Z,2020-09-25T21:27:55Z,1015,Cirq_137_snapshots,1,Full-stack Library/ Framework,,"A python framework for creating, editing, and invoking Noisy Intermediate Scale Quantum (NISQ) circuits."
spikespaz/firefox-nativedark,firefox-nativedark,2018-02-19T07:59:08Z,spikespaz,8,2769,85,9,16,105,4,0,0,JavaScript,1,3,23,2018-02-19T07:59:08Z,2020-07-16T15:46:40Z,878,firefox-nativedark_138_snapshots,1,Other-Quantum,https://addons.mozilla.org/firefox/addon/native-dark/,"Dynamic theme for Firefox Quantum that colorizes the title bar, tabs, and URL bar based on your Windows accent color."
gluonhq/strange,strange,2018-03-26T16:06:29Z,gluonhq,22,221,91,9,7,102,5,1,0,Java,1,46,64,2018-03-26T16:06:29Z,2020-09-22T08:05:11Z,910,N/A,0,,,Quantum Computing API for Java
hande-qmc/hande,hande,2015-04-21T09:45:14Z,hande-qmc,15,99421,45,8,1,2998,11,0,0,Fortran,1,53,65,2015-04-21T09:45:14Z,2020-08-05T18:12:26Z,1933,hande_140_snapshots,1,Chemistry/ Other-Quantum,,Open source stochastic quantum chemistry
gluonhq/strangefx,strangefx,2017-11-13T03:41:27Z,gluonhq,6,322,20,8,6,120,4,1,0,Java,1,22,45,2017-11-13T03:41:27Z,2020-09-24T18:57:41Z,1046,N/A,0,,,Quantum computer simulator
aeantipov/pomerol,pomerol,2014-06-11T03:44:49Z,aeantipov,14,1925,20,7,1,203,7,1,0,C++,1,16,28,2014-06-11T03:44:49Z,2020-09-05T08:43:04Z,2278,pomerol_142_snapshots,1,Quantum Algorithsm,http://aeantipov.github.io/pomerol/,"Exact diagonalization, Lehmann's representation, Two-particle Green's functions"
joekaiser/QuantumFlux,QuantumFlux,2015-01-19T23:58:42Z,joekaiser,12,2100,24,7,11,426,5,0,0,Java,1,30,30,2015-01-19T23:58:42Z,2020-07-15T13:37:44Z,2003,N/A,0,,,Wireless RF for Minecraft
BBN-Q/QGL,QGL,2016-01-21T20:58:01Z,BBN-Q,5,3893,16,7,34,1144,14,1,0,Python,1,184,232,2016-01-21T20:58:01Z,2020-07-15T23:01:38Z,1637,QGL_144_snapshots,1,Cryptography,,Quantum Gate Language (QGL) is a domain specific language embedded in python for specifying quantum gate sequences.
Q-solvers/EDLib,EDLib,2016-07-19T15:51:30Z,Q-solvers,8,605,17,7,1,354,4,1,0,C++,1,13,14,2016-07-19T15:51:30Z,2020-06-04T03:17:15Z,1415,EDLib_145_snapshots,1,Quantum Algorithsm,,Exact diagonalization solver for quantum electron models
open-quantum-safe/liboqs,liboqs,2016-08-12T01:46:12Z,open-quantum-safe,141,112332,626,7,16,827,32,0,0,C,1,532,812,2016-08-12T01:46:12Z,2020-09-25T18:36:46Z,1505,N/A,0,Cryptography,https://openquantumsafe.org/,C library for quantum-safe cryptography.
dylan-jayatilaka/tonto,tonto,2014-06-26T12:06:05Z,dylan-jayatilaka,5,90331,17,6,6,1623,11,1,0,C,1,4,28,2014-06-26T12:06:05Z,2020-09-15T06:14:45Z,2272,N/A,0,,dylan-jayatilaka.net/tonto,for Quantum Crystallography
quantumdb/quantumdb,quantumdb,2014-10-28T14:39:00Z,quantumdb,5,1034,43,6,3,173,3,0,0,Java,1,47,53,2014-10-28T14:39:00Z,2020-07-30T15:24:53Z,2102,N/A,0,,http://quantumdb.io,Zero-downtime schema evolution for PostgreSQL
lanl/qmasm,qmasm,2016-07-08T20:10:22Z,lanl,63,486,303,6,3,306,3,1,0,Python,1,2,10,2016-07-08T20:10:22Z,2020-09-11T04:49:09Z,1525,qmasm_149_snapshots,1,Assembly,,Quantum macro assembler for D-Wave systems
tmancal74/quantarhei,quantarhei,2016-07-20T18:30:25Z,tmancal74,12,5678,9,6,15,987,5,1,0,Python,1,72,105,2016-07-20T18:30:25Z,2020-09-25T18:07:06Z,1527,quantarhei_150_snapshots,1,Chemistry/ Other-Quantum,,Open Quantum System Theory for Molecular Systems
bloomberg/quantum,quantum,2018-07-11T20:40:04Z,bloomberg,35,2515,169,6,1,237,4,1,0,C++,1,127,132,2018-07-11T20:40:04Z,2020-09-25T09:51:11Z,806,quantum_151_snapshots,1,Library/ Framework,,Powerful multi-threaded coroutine dispatcher and parallel execution engine
rigetti/forest-benchmarking,forest-benchmarking,2018-12-17T19:53:19Z,rigetti,14,9883,29,6,21,192,9,0,0,Python,1,138,189,2018-12-17T19:53:19Z,2020-06-22T20:24:58Z,552,forest-benchmarking_152_snapshots,1,Library/ Framework,,"A library for quantum characterization, verification, validation (QCVV), and benchmarking using pyQuil."
LCPQ/quantum_package,quantum_package,2014-04-01T09:24:45Z,LCPQ,37,40575,30,5,0,2730,12,1,0,Fortran,1,154,248,2014-04-01T09:24:45Z,2020-09-24T11:10:17Z,2368,quantum_package_153_snapshots,1,Chemistry/ Other-Quantum,https://quantumpackage.github.io/qp2/,Set of quantum chemistry programs and libraries
vonDonnerstein/QuantumLab.jl,QuantumLab.jl,2015-10-02T10:35:39Z,vonDonnerstein,11,58193,27,5,5,186,6,1,0,Julia,1,14,19,2015-10-02T10:35:39Z,2020-09-20T23:13:10Z,1815,QuantumLab.jl_154_snapshots,1,Chemistry/ Other-Quantum,,A workbench for Quantum Chemistry and Quantum Physics in Julia
QuTech-Delft/qtt,qtt,2016-04-19T16:06:57Z,QuTech-Delft,7,60850,21,5,18,1342,25,1,0,Python,1,696,736,2016-04-19T16:06:57Z,2020-09-25T08:12:50Z,1619,qtt_155_snapshots,1,Tool,,Quantum Technology Toolbox https://qtt.readthedocs.io/
lneuhaus/pyrpl,pyrpl,2016-05-14T14:09:14Z,lneuhaus,44,185025,55,5,95,1529,12,1,0,Python,1,66,319,2016-05-14T14:09:14Z,2020-09-11T18:54:32Z,1581,pyrpl_156_snapshots,1,Experimentation,http://lneuhaus.github.io/pyrpl/,"pyrpl turns your RedPitaya into a powerful DSP device, especially suitable as a lockbox in quantum optics experiments."
microsoft/PQCrypto-SIDH,PQCrypto-SIDH,2017-04-17T23:16:37Z,microsoft,54,25465,194,5,6,129,6,0,0,C,1,11,25,2017-04-17T23:16:37Z,2020-09-24T14:42:41Z,1255,N/A,0,,,"SIDH Library is a fast and portable software library that implements state-of-the-art supersingular isogeny cryptographic schemes. The chosen parameters aim to provide security against attackers running a large-scale quantum computer, and security against classical algorithms."
quantumlib/OpenFermion-Cirq,OpenFermion-Cirq,2018-03-20T00:58:53Z,quantumlib,71,1757,229,5,34,230,13,0,0,Python,1,279,378,2018-03-20T00:58:53Z,2020-09-25T12:08:35Z,920,OpenFermion-Cirq_158_snapshots,1,Simulator,,Quantum circuits for simulations of quantum chemistry and materials.
dwave-examples/factoring,factoring,2018-03-20T16:56:03Z,dwave-examples,19,173,18,5,1,150,6,0,0,Python,1,28,28,2018-03-20T16:56:03Z,2020-09-18T14:11:20Z,912,factoring_159_snapshots,1,Quantum Algorithsm,,Factor numbers using a quantum computer
lmacken/quantumrandom,quantumrandom,2012-04-15T05:18:10Z,lmacken,25,324,104,4,11,116,5,1,0,Python,1,12,18,2012-04-15T05:18:10Z,2020-09-15T21:00:50Z,3075,quantumrandom_160_snapshots,1,Tool,https://pypi.python.org/pypi/quantumrandom,Tools for utilizing the ANU Quantum Random Number Generator
QInfer/python-qinfer,python-qinfer,2012-08-15T01:02:45Z,QInfer,26,4249,69,4,20,1107,10,1,0,Python,1,105,133,2012-08-15T01:02:45Z,2020-08-02T23:10:03Z,2909,python-qinfer_161_snapshots,1,Library/ Framework,,Library for Bayesian inference via sequential Monte Carlo for quantum parameter estimation.
zoran-cuckovic/QGIS-visibility-analysis,QGIS-visibility-analysis,2014-02-08T08:00:12Z,zoran-cuckovic,10,4763,34,4,14,128,2,0,0,Python,1,4,30,2014-02-08T08:00:12Z,2020-08-23T18:00:01Z,2388,QGIS-visibility-analysis_162_snapshots,1,Library/ Framework,,Quantum GIS plugin for visibility analysis
microsoft/qmt,qmt,2018-02-23T21:14:58Z,microsoft,24,67172,40,4,6,841,17,0,1,Python,1,132,145,2018-02-23T21:14:58Z,2020-06-18T17:50:50Z,845,qmt_163_snapshots,1,Simulator,,Qubit Modeling Tools (QMT) for computational modeling of quantum devices
Approximates/dotBloch,dotBloch,2018-06-02T21:00:14Z,Approximates,5,47053,0,4,0,202,4,0,0,C#,1,39,39,2018-06-02T21:00:14Z,2020-08-22T08:10:49Z,811,dotBloch_164_snapshots,1,Simulator,,quantum bit simulator build in Unity 3D engine.
bhagvank/Montecarlo_Quant,Montecarlo_Quant,2018-11-02T11:23:12Z,bhagvank,7,5397,12,4,2,116,6,0,0,Python,1,15,15,2018-11-02T11:23:12Z,2020-07-31T08:40:23Z,636,N/A,0,,,Monte carlo simulations  in finance industry using quantum computer
qucat/qucat,qucat,2018-11-08T12:39:33Z,qucat,18,16417,28,4,21,637,5,1,0,HTML,1,21,55,2018-11-08T12:39:33Z,2020-09-09T02:29:41Z,670,qucat_166_snapshots,1,Tool,https://qucat.org/,Quantum Circuit Analyzer Tool
