Repos_Name,Names,Created_at,login,Fork,Size,stars,releases,open_issues,commits,contributors,Travis,Docker,Language,tyoe,total_pr,total_is,created_at,updated_at,age,file_name,flag,Type,homepage,Description
google/tink,tink,2014-06-06T16:21:09Z,google,826,28830,10277,23,47,2517,66,0,0,C++,0,128,353,2014-06-06T16:21:09Z,2020-09-25T23:47:02Z,2303,N/A,0,None,nan,"Tink is a multi-language, cross-platform, open source library that provides cryptographic APIs that are secure, easy to use correctly, and hard(er) to misuse."
cquery-project/cquery,cquery,2017-04-18T04:15:24Z,cquery-project,168,4837,2335,7,156,1703,58,1,0,C++,0,340,734,2017-04-18T04:15:24Z,2020-09-24T03:16:03Z,1254,cquery_11_snapshots,1,None,nan,"C/C++ language server supporting multi-million line code base, powered by libclang. Emacs, Vim, VSCode, and others with language server protocol support. Cross references, completion, diagnostics, semantic highlighting and more"
zetavm/zetavm,zetavm,2017-04-25T06:26:09Z,zetavm,35,1585,588,0,9,516,14,1,1,C++,0,68,115,2017-04-25T06:26:09Z,2020-09-05T22:49:04Z,1229,zetavm_12_snapshots,1,None,https://pointersgonewild.com/category/zeta/,Multi-Language Platform for Dynamic Programming Languages
thought-machine/please,please,2016-02-02T11:27:05Z,thought-machine,104,9608,1064,166,64,2724,59,0,0,Go,0,882,1220,2016-02-02T11:27:05Z,2020-09-25T12:40:05Z,1697,N/A,0,None,https://please.build,High-performance extensible build system for reproducible multi-language builds.
Chuyu-Team/Dism-Multi-language,Dism-Multi-language,2016-11-26T06:45:37Z,Chuyu-Team,231,8986,1781,2,184,1009,26,0,0,HTML,0,106,638,2016-11-26T06:45:37Z,2020-09-26T02:01:36Z,1399,Dism-Multi-language_snapshots,1,None,nan,Dism++ Multi-language Support & BUG Report
ptmt/react-native-macos,react-native-macos,2015-10-04T15:22:01Z,ptmt,498,85496,11464,9,57,10026,1362,0,1,JavaScript,0,73,199,2015-10-04T15:22:01Z,2020-09-25T11:12:21Z,1817,N/A,0,None,nan,[deprecated in favor of https://microsoft.github.io/react-native-windows/] React Native for macOS is an experimental fork for writing desktop apps using Cocoa
angular/angular.js,angular.js,2010-01-06T00:34:37Z,angular,28677,101053,59490,206,466,9000,1576,0,0,JavaScript,0,7860,16472,2010-01-06T00:34:37Z,2020-09-25T16:10:20Z,3915,N/A,0,None,https://angularjs.org,AngularJS - HTML enhanced for web apps!
OnsenUI/OnsenUI,OnsenUI,2013-09-11T11:52:41Z,OnsenUI,918,187018,8019,133,141,8974,88,0,0,JavaScript,0,1107,2654,2013-09-11T11:52:41Z,2020-09-25T08:48:34Z,2570,N/A,0,None,https://onsen.io/,"Mobile app development framework and SDK using HTML5 and JavaScript. Create beautiful and performant cross-platform mobile apps. Based on Web Components, and provides bindings for Angular 1, 2, React and Vue.js."
keystonejs/keystone-classic,keystone-classic,2013-07-02T05:01:55Z,keystonejs,2345,151555,14819,75,356,8789,238,1,0,JavaScript,0,2479,4631,2013-07-02T05:01:55Z,2020-09-25T10:52:47Z,2642,keystone-classic_snapshots,1,None,http://v4.keystonejs.com,Node.js CMS and web app framework
Bogdan-Lyashenko/codecrumbs,codecrumbs,2018-05-01T15:00:36Z,Bogdan-Lyashenko,85,35137,2328,8,30,627,10,0,0,JavaScript,0,25,61,2018-05-01T15:00:36Z,2020-09-25T13:00:33Z,877,N/A,0,None,https://codecrumbs.io,"Learn, design or document codebase by putting breadcrumbs in source code. Live updates, multi-language support and more."
